Date,ConnType,ConnDetails,Lat,Lon,Download,DownloadBytes,Upload,UploadBytes,Latency,ServerName,InternalIp,ExternalIp,Is SpeedTest VPN
"2025-07-11 23:42,Wi-Fi,""SSID: airBaltic Starlink"",60.018878,22.513682,58963,74824143,22887,38743819,59,""Helsinki"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",No"
"2025-07-11 23:41,Wi-Fi,""SSID: airBaltic Starlink"",60.018173,22.512091,68157,82593241,22547,38671136,51,""Helsinki"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",No"
"2025-07-11 23:40,Wi-Fi,""SSID: airBaltic Starlink"",60.018173,22.512091,66881,92037810,25326,29671748,52,""Helsinki"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",No"
"2025-07-11 23:40,Wi-Fi,""SSID: airBaltic Starlink"",60.018173,22.512091,72346,130970891,21782,36406512,52,""Helsinki"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",No"
"2025-07-11 23:39,Wi-Fi,""SSID: airBaltic Starlink"",60.018173,22.512091,66393,116032895,16301,28291899,51,""Helsinki"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",No"
"2025-07-11 23:38,Wi-Fi,""SSID: airBaltic Starlink"",60.018173,22.512091,76261,125119612,17191,25470960,68,""Helsinki"",""2a0d:3344:1549:db20::eaf"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",No"
"2025-07-11 23:37,Wi-Fi,""SSID: airBaltic Starlink"",48.287271,11.787345,57698,87791626,13180,24343400,39,""Landshut"",""10.2.170.84"",""169.155.226.190"",No"
"2025-07-11 23:37,Wi-Fi,""SSID: airBaltic Starlink"",48.287271,11.787345,62092,115854902,34050,62478336,37,""Landshut"",""10.2.170.84"",""169.155.226.190"",No"
"2025-07-11 23:36,Wi-Fi,""SSID: airBaltic Starlink"",48.287271,11.787345,64032,121625332,15758,28063328,36,""Landshut"",""10.2.170.84"",""169.155.226.190"",No"
"2025-07-11 23:35,Wi-Fi,""SSID: airBaltic Starlink"",48.287271,11.787345,55842,80670011,23737,38991600,31,""Landshut"",""10.2.170.84"",""169.155.226.190"",No"
"2025-07-11 23:34,Wi-Fi,""SSID: airBaltic Starlink"",48.287271,11.787345,56730,101873030,35602,31578264,31,""Landshut"",""10.2.170.84"",""169.155.226.190"",No"
"2025-07-11 23:34,Wi-Fi,""SSID: airBaltic Starlink"",48.287271,11.787345,70849,108052807,29307,49806504,42,""Landshut"",""10.2.170.84"",""169.155.226.190"",No"
"2025-07-11 23:33,Wi-Fi,""SSID: airBaltic Starlink"",48.287271,11.787345,61453,98228935,16587,17493841,33,""Landshut"",""10.2.170.84"",""169.155.226.190"",No"
"2025-07-11 23:32,Wi-Fi,""SSID: airBaltic Starlink"",48.287271,11.787345,67567,116142957,18833,22718448,31,""Landshut"",""10.2.170.84"",""169.155.226.190"",No"
